"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site"
"93","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia","Type","Mucosal",-1.55960749934546,0.362538854938125,91,84,9.20035160985334e-05,0.00185630623657629,"Jejunum"
"101","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalitalea","Type","Mucosal",0.581487874495762,0.147613178225875,91,17,0.000282015965930608,0.00483657381570992,"Jejunum"
"151","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella","Type","Mucosal",0.631694000435694,0.190499427790747,91,6,0.00135607042635908,0.0140558172642305,"Jejunum"
"161","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pasteurellaceae.g__Haemophilus","Type","Mucosal",0.622807600592248,0.184807754201314,91,5,0.00155941285304928,0.0150670030590396,"Jejunum"
"171","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter","Type","Mucosal",0.472251506099726,0.143096291687802,91,5,0.00190561411918026,0.0170221849814041,"Jejunum"
"191","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Neisseriaceae.g__Neisseria","Type","Mucosal",0.687771068211717,0.226736703792028,91,10,0.00322773429374764,0.0261230374945855,"Jejunum"
"201","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella","Type","Mucosal",0.687377948954286,0.226677619142698,91,25,0.00323681951463523,0.0261230374945855,"Jejunum"
"211","k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium","Type","Mucosal",0.445510164590064,0.148351551697566,91,18,0.00455141407308777,0.0343106599355847,"Jejunum"
"221","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__","Type","Mucosal",0.487602464037151,0.169648428912714,91,5,0.00597704229582025,0.0418392960707417,"Jejunum"
"241","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Clostridium..methylpentosum.group.g__","Type","Mucosal",0.445543082321831,0.156540138976693,91,13,0.00669674774960863,0.0439682103672975,"Jejunum"
"85","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes","Type","Mucosal",0.17684204969612,0.372684691912477,91,49,0.637532969261603,0.813650166921932,"Jejunum"
"70","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Type","Mucosal",0.239495380770009,0.286881797674881,91,50,0.408310593338611,0.635149811860062,"Jejunum"
"981","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella","Type","Mucosal",-0.0360816818538148,0.461880540241297,91,74,0.938076418814311,0.961380041533168,"Jejunum"
"86","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Type","Mucosal",-0.246762219692867,0.531577579172527,91,43,0.644671972399667,0.813650166921932,"Jejunum"
"751","k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Catabacter","Type","Mucosal",0.120334519755208,0.165328112890369,91,14,0.470583835174659,0.696615048415491,"Jejunum"
"951","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania","Type","Mucosal",0.0291226867897802,0.201945163097051,91,46,0.885976850107568,0.939993947137613,"Jejunum"
"941","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas","Type","Mucosal",-0.0375989979290026,0.225248101108571,91,50,0.86818279343642,0.929328463170236,"Jejunum"
"901","k__Bacteria.p__Firmicutes.c__Clostridia.o__.f__.g__","Type","Mucosal",-0.0500244833429044,0.170593889141978,91,10,0.77065935358621,0.881120527600233,"Jejunum"
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola","Type","Mucosal",-0.273213829484935,0.18991190999789,91,34,0.157084455932107,0.344280948145129,"Jejunum"
"56","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter","Type","Mucosal",-0.235694713760637,0.174523660114836,91,26,0.183560306069426,0.383909664523251,"Jejunum"
"891","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Type","Mucosal",-0.0902880486857466,0.28882434978258,91,90,0.75600047504979,0.877523394051026,"Jejunum"
"811","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides","Type","Mucosal",0.155448617275686,0.278585619126576,91,62,0.579673569066392,0.784331495817643,"Jejunum"
"921","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus","Type","Mucosal",0.0755227588933489,0.301421474631058,91,61,0.803287322378653,0.901890512523332,"Jejunum"
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..eligens.group","Type","Mucosal",0.319908255559619,0.214583608257756,91,20,0.142944609582968,0.329060409979584,"Jejunum"
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter","Type","Mucosal",-0.277517309274117,0.308968246212598,91,48,0.374046035898256,0.595349375002792,"Jejunum"
"52","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus","Type","Mucosal",-0.515160488799718,0.348500966861981,91,31,0.146482933950962,0.332739379769403,"Jejunum"
"44","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Coprobacillus","Type","Mucosal",0.29781074453439,0.164646734736436,91,34,0.0771909765704384,0.226294914219319,"Jejunum"
"821","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium","Type","Mucosal",-0.192787123118748,0.35056620441194,91,86,0.583843741419187,0.785327071791299,"Jejunum"
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus","Type","Mucosal",0.170942333875539,0.175535163909013,91,36,0.335306374603659,0.558301390723568,"Jejunum"
"721","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755","Type","Mucosal",0.162571225400208,0.195660862266985,91,17,0.410437503542935,0.635919597895447,"Jejunum"
"35","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__","Type","Mucosal",-0.490276778958467,0.236721941516524,91,64,0.0441940495117962,0.169673044650902,"Jejunum"
"791","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.009","Type","Mucosal",-0.160721547182894,0.266344336291204,91,51,0.549207443340215,0.76112385077048,"Jejunum"
"96","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter","Type","Mucosal",-0.0288844923593544,0.272329095360327,91,41,0.915989959382995,0.950634057695513,"Jejunum"
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus","Type","Mucosal",-0.147964674956684,0.210517819897082,91,30,0.485774572983833,0.698417816373456,"Jejunum"
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas","Type","Mucosal",-0.217825266684383,0.215813510711576,91,45,0.318280117296385,0.541309415263318,"Jejunum"
"651","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Harryflintia","Type","Mucosal",-0.162130619192708,0.163555135786523,91,8,0.326920744020907,0.55015122330393,"Jejunum"
"61","k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium","Type","Mucosal",0.275892353109043,0.237494329527126,91,18,0.251598954142509,0.465220707659734,"Jejunum"
"39","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Type","Mucosal",0.477668716744813,0.246408654120846,91,15,0.0585319256534253,0.194790423148229,"Jejunum"
"112","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__","Type","Mucosal",-3.25734824490357,0.347209622985566,90,45,3.49288959353093e-12,5.99030565290554e-10,"Ileum"
"212","k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__","Type","Mucosal",-2.91638066149569,0.378699544085282,90,53,6.96003649465e-10,9.5491700706598e-08,"Ileum"
