metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,e3bd74e4f8e965abfb6ca86d51d2b55b,Vil1Cre,0.7564107539,0.2826166994,137,19,0.01075749876,0.1283169912
Site,0daddf1b0a2e7ae6c3add7261ca7b510,Duodenum,0.4132951772,0.1590098834,137,128,0.01092905758,0.1295873971
Line,f745d265f36ea7eac26d97280e690796,LyzCre,-2.342268912,0.8842579074,137,102,0.01147620804,0.1344741554
Sequencing_Run,cfb5eb8b6cd871de2ff7085767ca3152,NovaSeq_Mar_Twenty,-2.186083011,0.8262783195,137,24,0.01145593387,0.1344741554
Line,a87086e2ee322da102d8a52c4de21683,LyzCre,2.230647168,0.8439938659,137,63,0.01167287138,0.1355681819
Line,0789b8bf342cad7160cfe6e2e074f034,Vil1Cre,0.7355303956,0.2783627818,137,36,0.01170568639,0.1355681819
Line,87ab9c664033e00f6b64f2afc71a6d90,Vil1Cre,0.6079950418,0.2304814272,137,20,0.01186577538,0.1366278876
Sequencing_Run,a5641950b2a3a47827849d91242f0ead,NovaSeq_Mar_Twenty,2.079995962,0.7944515315,137,81,0.01218881713,0.1395409409
Sequencing_Run,73e42306e185be6f0c6060d4ed924469,NovaSeq_Mar_Twenty,3.131853058,1.196395464,137,131,0.01235326736,0.1398137316
Sequencing_Run,20b86a0cfa5df6fb3f9afef5cf2f0151,NovaSeq_Jan_Twenty,1.926810868,0.7354206626,137,69,0.01239193194,0.1398137316
Line,594b20915c3abfcb209ccf738fb7122b,Vil1Cre,0.8313406836,0.317337589,137,35,0.01242320808,0.1398137316
Site,78efb9db740a56e0b2bc4d4778d4d3fc,Duodenum,-0.3495697341,0.137292397,137,28,0.01261227861,0.1411441516
Site,978c4b2965a576a78cac987d12c9e0a0,Jejunum,-0.3635206983,0.1429239671,137,40,0.0127154238,0.1415034872
Line,be50260bd56c9b191a9e0845fc908179,LyzCre,-0.6607427883,0.2538694369,137,38,0.01292469657,0.1424494641
Site,fe74cb6ed6d5951071824943319e1724,Jejunum,-0.4165835248,0.1642249169,137,61,0.01294345031,0.1424494641
Line,7cd17d18c05e35c6001cc253ac15c517,Vil1Cre,-0.9999985899,0.3863738377,137,137,0.01345857792,0.1451012295
Sequencing_Run,a589fa026973c67d0f1c7b741d85b90c,NovaSeq_Jan_Twenty,-3.381755545,1.305988317,137,86,0.01334452697,0.1451012295
